account_id,frst_name,last_name,password,balance_checking,balance_savings,num_of_overdrafts,is_active
10001,suresh,sigera,juagw362,1000,10000,0,True
10002,james,taylor,idh36%@#FGd,10000,10000,0,True
10003,melvin,gordon,uYWE732g4ga1,2000,20000,0,True
10004,stacey,abrams,DEU8_qw3y72$,2000,20000,0,True
10005,jake,paul,d^dg23g)@,100000,100000,0,True
10006,ghada,almutairi,ghada123,0,0,0,True
10007,asdda,asdsa,ad,0,0,0,True
10008,s,s,x,0,0,0,True
10009,sas,asaw,as,0,0,0,True
10010,aasdad,D`DWs,asADA,0,0,0,True
10011,Stacey,Abrams,DEU8_qw3y72$,0,0,0,True
